#separator:tab
#html:true
#notetype:Basic
#deck:Git
#columns:Front	Back
What is the difference between <code>git init</code> and <code>git clone</code>? Give an example.	<code>init</code> creates a new empty repo in the current folder; <code>clone</code> copies an existing remote repo locally.<br><br><pre><code>git init<br>git clone https://github.com/user/repo.git</code></pre>
What does <code>git status</code> do? Give an example.	Shows working tree state: untracked, modified, and staged files, plus current branch.<br><br><pre><code>git status<br>git status -s  # short format</code></pre>
What does <code>git add</code> do? Give an example.	Moves changes from working tree to the <b>staging area</b> (index).<br><br><pre><code>git add file.js        # stage one file<br>git add .            # stage all changes<br>git add -p           # stage interactively by hunk</code></pre>
What does <code>git commit</code> do? Give an example.	Saves staged changes as a new commit in history.<br><br><pre><code>git commit -m "Add login"<br>git commit -am "Fix typo"  # stage tracked files + commit</code></pre>
What does <code>git log</code> do? Give an example.	Shows commit history for the current branch.<br><br><pre><code>git log --oneline -10<br>git log --oneline --graph --all -15</code></pre>
What does <code>git diff</code> show by default? How do you diff staged changes?	By default: <b>unstaged</b> changes (working tree vs index). Add <code>--staged</code> for staged vs HEAD.<br><br><pre><code>git diff               # unstaged<br>git diff --staged     # staged<br>git diff main..feature  # branch comparison</code></pre>
How do you create, list, and delete branches?	Branching is a cheap movable pointer to a commit.<br><br><pre><code>git branch              # list<br>git branch feature      # create<br>git branch -d feature   # delete (merged)<br>git branch -D feature   # force-delete</code></pre>
What do <code>git switch</code> / <code>git checkout</code> do? Give an example.	Move HEAD to another branch (update working tree). <code>switch</code> is the modern dedicated command.<br><br><pre><code>git switch main<br>git switch -c feature   # create + switch<br>git checkout main -- file.js  # restore one file (old syntax)</code></pre>
What does <code>git merge</code> do? What is fast-forward vs 3-way?	Merges another branch into current. Fast-forward = linear pointer move; 3-way = new merge commit when histories diverged.<br><br><pre><code>git switch main<br>git merge feature<br>git merge --abort  # on conflict, cancel</code></pre>
What does <code>git rebase</code> do, and when should you (not) use it?	Replays current branch commits on top of another base for linear history. <b>Never rebase shared/pushed commits</b> — use merge instead.<br><br><pre><code>git switch feature<br>git rebase main<br>git rebase --continue  # after fixing conflicts</code></pre>
What does <code>git stash</code> do? Give the key subcommands.	Temporarily shelves uncommitted changes so you get a clean tree.<br><br><pre><code>git stash push -m "wip"  # save<br>git stash list<br>git stash pop            # restore + drop<br>git stash drop</code></pre>
What is the difference between <code>git reset</code>, <code>git revert</code>, and <code>git restore</code>?	<code>reset</code> moves HEAD/history (local, destructive); <code>revert</code> creates a new commit undoing another (safe for shared); <code>restore</code> restores working-tree files.<br><br><pre><code>git reset --soft HEAD~1   # undo commit, keep staged<br>git reset --hard HEAD~1   # discard everything (danger!)<br>git revert HEAD           # safe undo via new commit<br>git restore file.js       # discard file changes</code></pre>
What does <code>git remote</code> do? Give an example.	Manages connections to remote repos (e.g. <code>origin</code>).<br><br><pre><code>git remote -v<br>git remote add origin https://github.com/user/repo.git</code></pre>
What is the difference between <code>git fetch</code>, <code>git pull</code>, and <code>git push</code>?	<code>fetch</code> downloads remote refs without merging; <code>pull</code> = fetch + merge/rebase; <code>push</code> uploads local commits.<br><br><pre><code>git fetch origin<br>git pull --rebase origin main<br>git push -u origin feature  # push + set upstream</code></pre>git
What does <code>git push --force-with-lease</code> do vs <code>--force</code>?	Overwrites the remote branch, but <code>--force-with-lease</code> refuses if someone else pushed in the meantime (safer).<br><br><pre><code>git push --force-with-lease origin feature</code></pre>
What does <code>git tag</code> do? Lightweight vs annotated?	Marks a commit (usually a release). Annotated tags store message + signature; lightweight is just a pointer.<br><br><pre><code>git tag v1.0.0              # lightweight<br>git tag -a v1.0.0 -m "release"<br>git push origin v1.0.0</code></pre>
What does <code>git cherry-pick</code> do? Give an example.	Applies a single existing commit onto the current branch as a new commit.<br><br><pre><code>git cherry-pick abc1234<br>git cherry-pick --abort  # on conflict, cancel</code></pre>
